serviceName,Genre,isCustomizable,customizationOptions,price,time,description,Detail,View Detail
Switchbox installation (15+ amp),Switch & socket,0,,239/-,30 min,Covers installation only. Switchbox/spare parts sourced separately.,"Included
Labour charges for installation of 1 heavy switchboard
Procurement of spare parts (at extra cost)
Clean-up after the service
Uoons warranty & damage cover*
Excluded
Wiring at extra cost","Please note :-
Our partners do not carry a ladder, please
arrange for one if required.
Warranty does not cover spare parts
provided by customers.                                                       How it works :- 
Diagnosis
Our partner will visit your home &
diagnose the issue.
Cost estimation
The final estimate will be provided after
the diagnosis process.
Spare parts procurement
Partner will be responsible for procuring
& obtaining the required spare parts at an
additional cost                                                        Standardised repair process
Our partner will handle the entire task &
perform any necessary work.
Post-service cleanup
Our partner will thoroughly clean the
surround area & surfaces.                                           Overview
Trained professionals                                               Background verified
30-day warranty"
Switch/socket replacement,Switch & socket,0,,49/-,30 min,"Covers replacement only. Socket/spare parts sourced
separately.","Included
Labour charges for replacement of existing switchboard (up to twelve
switches)
Procurement of spare parts (at extra cost)
Minor wiring up to 2m, if needed
Clean-up after the service
Uoons warranty & damage cover*
Excluded
Major wiring (more than 2m)/ new wiring (at extra cost)","Please note :-
Our partners do not carry a ladder, please
arrange for one if required.
Warranty does not cover spare parts
provided by customers.                                                       How it works :- 
Diagnosis
Our partner will visit your home &
diagnose the issue.
Cost estimation
The final estimate will be provided after
the diagnosis process.
Spare parts procurement
Partner will be responsible for procuring
& obtaining the required spare parts at an
additional cost                                                        Standardised repair process
Our partner will handle the entire task &
perform any necessary work.
Post-service cleanup
Our partner will thoroughly clean the
surround area & surfaces.                                           Overview
Trained professionals                                               Background verified
30-day warranty"
AC switchbox installation,Switch & socket,0,,249/-,60 min,"Covers installation only. AC switchbox/spare parts
sourced separately.","Included
Labour charges for installation of one AC switch box
Procurement of spare parts (at extra cost)
Minor wiring up to 2m, if needed
Free revisit in case the issue reoccurs within 30 days
Uoons warranty & damage cover*
Excluded
Major wiring (more than 2m)/ new wiring (at extra cost)","Please note :-
Our partners do not carry a ladder, please
arrange for one if required.
Warranty does not cover spare parts
provided by customers.                                                       How it works :- 
Diagnosis
Our partner will visit your home &
diagnose the issue.
Cost estimation
The final estimate will be provided after
the diagnosis process.
Spare parts procurement
Partner will be responsible for procuring
& obtaining the required spare parts at an
additional cost                                                        Standardised repair process
Our partner will handle the entire task &
perform any necessary work.
Post-service cleanup
Our partner will thoroughly clean the
surround area & surfaces.                                           Overview
Trained professionals                                               Background verified
30-day warranty"
Switchboard installation,Switch & socket,0,,169/-,30 min,"Covers installation only. Switchboard/spare parts
sourced separately.","Included
Labour charges for installation of one switchboard (up to twelve
switches)
Procurement of spare parts (at extra cost)
Minor wiring up to 2m, if needed
Clean-up after the service
Uoons warranty & damage cover*
Excluded
Major wiring (more than 2m)/ new wiring (at extra cost)","Please note :-
Our partners do not carry a ladder, please
arrange for one if required.
Warranty does not cover spare parts
provided by customers.                                                       How it works :- 
Diagnosis
Our partner will visit your home &
diagnose the issue.
Cost estimation
The final estimate will be provided after
the diagnosis process.
Spare parts procurement
Partner will be responsible for procuring
& obtaining the required spare parts at an
additional cost                                                        Standardised repair process
Our partner will handle the entire task &
perform any necessary work.
Post-service cleanup
Our partner will thoroughly clean the
surround area & surfaces.                                           Overview
Trained professionals                                               Background verified
30-day warranty"
Switchboard/switchbox repair,Switch & socket,0,,79/-,30 min,"Covers repair only. Switchbox/spare parts sourced
separately.","Included
Labour charges for inspection and repair of one switchboard
Procurement of spare parts (at extra cost)
Minor wiring up to 2m, if needed
Clean-up after the service
Uoons warranty & damage cover*
Excluded
Major wiring (more than 2m)/ new wiring (at extra cost)","Please note :-
Our partners do not carry a ladder, please
arrange for one if required.
Warranty does not cover spare parts
provided by customers.                                                       How it works :- 
Diagnosis
Our partner will visit your home &
diagnose the issue.
Cost estimation
The final estimate will be provided after
the diagnosis process.
Spare parts procurement
Partner will be responsible for procuring
& obtaining the required spare parts at an
additional cost                                                        Standardised repair process
Our partner will handle the entire task &
perform any necessary work.
Post-service cleanup
Our partner will thoroughly clean the
surround area & surfaces.                                           Overview
Trained professionals                                               Background verified
30-day warranty"
Modular retrofit smart switches,Switch & socket,0,,119/-,30 min,"Covers installation only. smart switch/spare parts
sourced se arate","Included
Labour charges for installation of one smart modular switch
Procurement of spare parts (at extra cost)
Uoons warranty & damage cover*
Excluded
Any other service related to wires, leads, sockets, etc.","Please note :-
Our partners do not carry a ladder, please
arrange for one if required.
Warranty does not cover spare parts
provided by customers.                                                       How it works :- 
Diagnosis
Our partner will visit your home &
diagnose the issue.
Cost estimation
The final estimate will be provided after
the diagnosis process.
Spare parts procurement
Partner will be responsible for procuring
& obtaining the required spare parts at an
additional cost                                                        Standardised repair process
Our partner will handle the entire task &
perform any necessary work.
Post-service cleanup
Our partner will thoroughly clean the
surround area & surfaces.                                           Overview
Trained professionals                                               Background verified
30-day warranty"
Smart appliance controller,Switch & socket,0,,179/-,30 min,"Covers installation of toUoonsh panel/smart plug. Spare
arts sourced se aratel","Included
Labour charges for installation of one smart smart plug/ toUoonsh panel
Procurement of spare parts (at extra cost)
Clean-up after the service
Excluded
Any other service related to wires, leads, sockets, etc.","Please note :-
Our partners do not carry a ladder, please
arrange for one if required.
Warranty does not cover spare parts
provided by customers.                                                       How it works :- 
Diagnosis
Our partner will visit your home &
diagnose the issue.
Cost estimation
The final estimate will be provided after
the diagnosis process.
Spare parts procurement
Partner will be responsible for procuring
& obtaining the required spare parts at an
additional cost                                                        Standardised repair process
Our partner will handle the entire task &
perform any necessary work.
Post-service cleanup
Our partner will thoroughly clean the
surround area & surfaces.                                           Overview
Trained professionals                                               Background verified
30-day warranty"
Converter retrofit Wi-Fi smart,Switch & socket,0,,179/-,30 min,"Covers installation only. Smart switche/spare parts
sourced separately.","Included
Labour charges for installation of one smart converter switch
Procurement of spare parts (at extra cost)
Clean-up after the service
Excluded
Any other service related to wires, leads, sockets, etc.","Please note :-
Our partners do not carry a ladder, please
arrange for one if required.
Warranty does not cover spare parts
provided by customers.                                                       How it works :- 
Diagnosis
Our partner will visit your home &
diagnose the issue.
Cost estimation
The final estimate will be provided after
the diagnosis process.
Spare parts procurement
Partner will be responsible for procuring
& obtaining the required spare parts at an
additional cost                                                        Standardised repair process
Our partner will handle the entire task &
perform any necessary work.
Post-service cleanup
Our partner will thoroughly clean the
surround area & surfaces.                                           Overview
Trained professionals                                               Background verified
30-day warranty"
Inverter fuse replacement,Inverter & stabilizer,0,,99/-,30 min,"Covers replacement only. Inverter fuse/spare parts
sourced separately.","Included
Replacement of inverter fuse
Procurement of spare parts (at extra cost)
Minor wiring up to 2m, if needed
Clean-up after the service
Uoons warranty & damage cover*
Excluded
Major wiring (more than 2m)/ new wiring (at extra cost)
Warranty on spare parts provided by customers","Please note :-
Our partners do not carry a ladder, please
arrange for one if required.
Warranty does not cover spare parts
provided by customers.                                                       How it works :- 
Diagnosis
Our partner will visit your home &
diagnose the issue.
Cost estimation
The final estimate will be provided after
the diagnosis process.
Spare parts procurement
Partner will be responsible for procuring
& obtaining the required spare parts at an
additional cost                                                        Standardised repair process
Our partner will handle the entire task &
perform any necessary work.
Post-service cleanup
Our partner will thoroughly clean the
surround area & surfaces.                                           Overview
Trained professionals                                               Background verified
30-day warranty"
Inverter servicing,Inverter & stabilizer,0,,139/-,30 min,Covers servicing only. Spare parts sourced separately.,"Included
Terminal dust removal, distilled water top-up
Clean-up after the service
Uoons warranty & damage cover*
Warranty on spare parts provided or sourced by Uoons
Excluded
Procurement of distilled water (at extra cost)
Warranty on spare parts provided by customers","Please note :-
Our partners do not carry a ladder, please
arrange for one if required.
Warranty does not cover spare parts
provided by customers.                                                       How it works :- 
Diagnosis
Our partner will visit your home &
diagnose the issue.
Cost estimation
The final estimate will be provided after
the diagnosis process.
Spare parts procurement
Partner will be responsible for procuring
& obtaining the required spare parts at an
additional cost                                                        Standardised repair process
Our partner will handle the entire task &
perform any necessary work.
Post-service cleanup
Our partner will thoroughly clean the
surround area & surfaces.                                           Overview
Trained professionals                                               Background verified
30-day warranty"
